Item_ID,Weight,Visibility,Category,Max_Price,Store_ID,Store_Establishment_Year,Item_Store_Sales,Outlet,FatContent_0,FatContent_1,FatContent_2,Store_Location_Type_0,Store_Location_Type_1,Store_Location_Type_2,Store_Size_0,Store_Size_1,Store_Size_2,Category_Type_0,Category_Type_1,Category_Type_2,Store_Type_0,Store_Type_1,Store_Type_2,Store_Type_3,Store_Age_0,Store_Age_1,Store_Age_2,Store_Age_3,Store_Age_4,Store_Age_5,Store_Age_6,Store_Age_7,Store_Age_8
FDA15,9.3,0.016047301,4,249.8092,OUT049,1999,3735.138,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
DRC01,5.92,0.019278216,14,48.2692,OUT018,2009,443.4228,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDN15,17.5,0.016760075,10,141.618,OUT049,1999,2097.27,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDX07,19.2,0.0,6,182.095,OUT010,1998,732.38,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NCD19,8.93,0.0,9,53.8614,OUT013,1987,994.7052,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDP36,10.395,0.0,0,51.4008,OUT018,2009,556.6088,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDO10,13.65,0.012741089,13,57.6588,OUT013,1987,343.5528,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDP10,12.857645184136183,0.127469857,13,107.7622,OUT027,1985,4022.7636,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDH17,16.2,0.016687114,5,96.9726,OUT045,2002,1076.5986,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDU28,19.2,0.09444959,5,187.8214,OUT017,2007,4710.535,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.0,6,45.5402,OUT049,1999,1516.0266,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDA03,18.5,0.045463773,4,144.1102,OUT046,1997,2187.153,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX32,15.1,0.1000135,6,145.4786,OUT049,1999,1589.2646,9,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDS46,17.6,0.047257328,13,119.6782,OUT046,1997,2145.2076,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF32,16.35,0.06802430000000001,6,196.4426,OUT013,1987,1977.426,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDP49,9.0,0.06908896099999999,2,56.3614,OUT046,1997,1547.3192,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCB42,11.8,0.008596051,8,115.3492,OUT018,2009,1621.8888,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.06919637599999999,2,54.3614,OUT049,1999,718.3982,9,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
DRI11,12.857645184136183,0.034237682,7,113.2834,OUT027,1985,2303.668,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDU02,13.35,0.10249212,4,230.5352,OUT035,2004,2748.4224,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDN22,18.85,0.138190277,13,250.8724,OUT013,1987,3775.086,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDW12,12.857645184136183,0.035399923,0,144.5444,OUT027,1985,4064.0432,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NCB30,14.6,0.025698134,9,196.5084,OUT035,2004,1587.2672,6,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
FDC37,12.857645184136183,0.057556998,0,107.6938,OUT019,1985,214.3876,4,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDR28,13.85,0.025896485,5,165.021,OUT046,1997,4078.025,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCD06,13.0,0.099887103,9,45.90600000000001,OUT017,2007,838.908,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.06669343700000001,13,42.3112,OUT035,2004,1065.28,6,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRJ59,11.65,0.019356132,7,39.1164,OUT013,1987,308.9312,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDE51,5.925,0.161466534,4,45.5086,OUT010,1998,178.4344,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FDC14,12.857645184136183,0.072221801,3,43.6454,OUT019,1985,125.8362,4,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDV38,19.25,0.170348551,4,55.7956,OUT010,1998,163.7868,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NCS17,18.6,0.080829372,8,96.4436,OUT018,2009,2741.7644,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP33,18.7,0.0,13,256.6672,OUT018,2009,3068.0064,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDO23,17.85,0.0,1,93.1436,OUT045,2002,2174.5028,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
DRH01,17.5,0.097904029,14,174.8738,OUT046,1997,2085.2856,8,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCX29,10.0,0.08929113699999999,8,146.7102,OUT049,1999,3791.0652,9,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV20,12.857645184136183,0.059511812,6,128.0678,OUT027,1985,2797.6916,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
DRZ11,8.85,0.113123893,14,122.5388,OUT018,2009,1609.9044,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDX10,12.857645184136183,0.123111453,13,36.9874,OUT027,1985,388.1614,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDB34,12.857645184136183,0.026480954,13,87.6198,OUT027,1985,2180.495,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDU02,13.35,0.102511504,4,230.6352,OUT046,1997,3435.528,8,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDK43,9.8,0.02681843,10,126.002,OUT013,1987,2150.534,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDA46,13.6,0.117818348,13,192.9136,OUT049,1999,2527.3768,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC02,21.35,0.06910283099999999,3,259.9278,OUT018,2009,6768.5228,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
